Product_ID,Product_Name,Category,Brand,Retail_Price,Discounted_Price,Description
101,Apple iPhone 15 Pro,Electronics,Apple,134900,127990,Premium smartphone with titanium design and A17 Pro chip
102,Samsung Galaxy S24 Ultra,Electronics,Samsung,129999,115999,Advanced Android phone with S-Pen and AI photography features
103,OnePlus 12 5G,Electronics,OnePlus,64999,59999,Fast charging flagship killer phone with smooth display
104,Google Pixel 8,Electronics,Google,75999,65999,Pure Android experience with incredible camera capabilities
105,MacBook Air M2,Computers,Apple,114900,99990,Thin and light laptop with amazing battery life
106,Dell XPS 15,Computers,Dell,185000,170000,High performance laptop for creators and professionals
107,HP Pavilion x360,Computers,HP,65999,58999,Convertible touchscreen laptop for students
108,Lenovo IdeaPad Slim 3,Computers,Lenovo,45990,38990,Budget friendly laptop for everyday office tasks
109,Asus ROG Zephyrus,Computers,Asus,145000,132000,Powerful gaming laptop with dedicated graphics card
110,iPad Air 5th Gen,Tablets,Apple,59900,52900,Versatile tablet perfect for note taking and media
111,Sony WH-1000XM5,Audio,Sony,34990,29990,Industry leading noise cancelling over ear headphones
112,AirPods Pro 2nd Gen,Audio,Apple,24900,21900,True wireless earbuds with spatial audio
113,Bose QuietComfort Earbuds,Audio,Bose,26900,22900,Premium earbuds with excellent noise reduction
114,JBL Flip 6 Bluetooth Speaker,Audio,JBL,11999,9999,Waterproof portable speaker with deep bass
115,Boat Airdopes 141,Audio,boAt,4490,1299,Affordable wireless earbuds with long battery life
116,Noise ColorFit Pro 4,Wearables,Noise,5999,2499,Smartwatch with fitness tracking and bluetooth calling
117,Apple Watch Series 9,Wearables,Apple,41900,38900,Advanced health and fitness tracking smartwatch
118,Samsung Galaxy Watch 6,Wearables,Samsung,29999,24999,Android smartwatch with sleep coaching
119,Mi Power Bank 10000mAh,Accessories,Xiaomi,1999,999,Fast charging portable battery for mobiles
120,SanDisk 128GB Pendrive,Accessories,SanDisk,1500,800,High speed USB flash drive for data storage
121,Nike Air Max Mens,Footwear,Nike,5999,3499,Comfortable daily wear running shoes
122,Adidas Ultraboost,Footwear,Adidas,14999,9999,Premium cushioned running shoes for athletes
123,Puma Suede Classics,Footwear,Puma,4999,2999,Retro style casual sneakers for everyday wear
124,Woodland Leather Boots,Footwear,Woodland,6995,4595,Durable outdoor boots for trekking and winter
125,Bata Formal Oxfords,Footwear,Bata,2499,1499,Classic formal shoes for office wear
126,Crocs Classic Clogs,Footwear,Crocs,2995,1995,Lightweight and water friendly casual footwear
127,Skechers Go Walk,Footwear,Skechers,4599,3299,Slip on walking shoes with memory foam
